MEDL,Mars Descent Module ADEPT,4134,323.44,16011.57,51576.92,14654.55,0,0
MEDL,Mars Descent Module Dual HIAD,4134,296,17122.51,49625.48,11667.86,0,0
MEDL,Mars Descent Module Dual HIAD Storable,4134,151.6,17839.88,54948.57,12288.51,0,0
ML2014,Mars Descent Module LO2/LCH4,4641.9,189,69996.57,89805.67,19757,464.52,670.91
MLPT,Mars Descent Module LOX/Hydrogen,4791.52,651.95,85662.08,101877.76,14053.91,533.41,806.96
MAVDD,Mars Descent Module LOX/Methane,4863.45,412.26,60449.82,80319.31,17614,0,0
MLPT,Mars Descent Module N2O4/MMH,4789.89,238.59,42035.02,61206.49,0,464.52,670.91
MEDL,Mars Descent Module Single HIAD,3544.48,262.99,12456.6,43598.29,10366.58,0,0
MEDL,Mars Descent Module Single HIAD Hybrid,3447.02,141.83,12932.59,49524.21,11496.55,0,0
Mars4,Mars Exploration Upper Stage Launch,3372.44,3270.68,12530.08,127327.22,113735.26,447.28,631.09
Mars4,Mars Exploration Upper Stage TMI,3260.88,3270.68,13036.83,127819.57,113735.26,447.28,631.09
Mars2,Mars LOX/CH4 Stage,1869.02,587.3,6230.05,39975.02,0,173.18,159.04
MSEPC,Mars Transport Methane Propulsion Stage,1869.02,587.3,6230.05,38614.64,30873.4,180.34,162.65
Mars1,Mars Transportation System EDS,5744.6,7407.4,28265.42,268400.11,233456.65,394.98,551.27
Mars1,Mars Transportation System MOI,1451.9,1295.4,13918.19,67308.11,51867,268.5,298.98
Mars1,Mars Transportation System TEI,908.2,665.8,11769.3,40531.93,27932.78,268.5,298.98
HEFT,Medium/Small Cryogenic Propulsion Stage,1334.8,1222.4,10308.97,67510.25,57180,0,0
MCPS,Methane Cryogenic Propulsion Stage,1869.02,587.3,6109.05,38493.64,0,173.18,159.04
HEFT,MOI Medium Cryogenic Propulsion Stage,2746.41,947.6,9221.16,70987.42,59000,0,0
MB12,MoonBEAM satellite 12U size,1.91,0.89,19.29,21.77,2.48,0.45,0.02
NCPS,Nuclear CPS Core Stage,6319.02,3641.72,21067.68,96850.05,71909,691.4,1219.19
NCPS,Nuclear CPS Drop Tank,2304.4,6994.1,34064.2,97174.77,58653,680.85,1197.02
NCPS,Nuclear CPS Inline Tank,6761,5939.68,18795.38,97424.56,73153,723.07,1285.69
NTPMSC,Nuclear Thermal Propulsion MSC Core,4810.96,2073.67,11544.02,61392.58,47033,450.82,654.24
NTPMSC,Nuclear Thermal Propulsion MSC Inline Tank,2156.38,3372.26,24644.86,67308.71,40557,472.81,692.72
EAM3,Propulsion Module,335.15,195.6,1822.8,7653.9,5831.1,60.08,31.81
RP,Resource Prospector Propulsion Module,247.27,15.36,676.38,1087.01,204.7,66.68,37.1
Phoenix,RS-34 Stage 1 Tank Set HST-D,125.4,71.68,549.55,1371.01,621.28,16.36,4.56
Phoenix,RS-34 Stage Extended Tanks HST-D,161.7,75.88,590.05,1495.17,704.94,16.36,4.56
SPS,Solar Power Satellite,5190,0,33405,0,0,20757,0
HEFT,TMI Large Cryogenic Propulsion Stage,53.73,1265.81,10252.07,117282.51,102000,0,0
HabEx,X-Ray Surveyor satellite,727,76.24,1890.6,4944.39,494.9,151.19,115.45
