MEDL,Mars Descent Module Dual HIAD,4134,296,17122.51,49625.48,11667.86,954.2255823,1819.417581
MEDL,Mars Descent Module Dual HIAD Storable,4134,151.6,17839.88,54948.57,12288.51,954.2255823,1819.417581
ML2014,Mars Descent Module LO2/LCH4,4641.9,189,69996.57,89805.67,19757,464.52,670.9075
MLPT,Mars Descent Module LOX/Hydrogen,4791.52,651.95,85662.08,101877.76,14053.91,533.408,806.9613
MAVDD,Mars Descent Module LOX/Methane,4863.45,412.26,60449.82,80319.31,17614,954.2255823,1819.417581
MLPT,Mars Descent Module N2O4/MMH,4789.89,238.59,42035.02,61206.49,31756.28931,464.52,670.9075
MEDL,Mars Descent Module Single HIAD,3544.48,262.99,12456.6,43598.29,10366.58,954.2255823,1819.417581
MEDL,Mars Descent Module Single HIAD Hybrid,3447.02,141.83,12932.59,49524.21,11496.55,954.2255823,1819.417581
Mars4,Mars Exploration Upper Stage Launch,3372.44,3270.68,12530.08,127327.22,113735.26,447.2842541,631.0917716
Mars4,Mars Exploration Upper Stage TMI,3260.88,3270.68,13036.83,127819.57,113735.26,447.2842541,631.0917716
Mars2,Mars LOX/CH4 Stage,1869.02,587.3,6230.05,39975.02,31756.28931,173.180295,159.0431281
MSEPC,Mars Transport Methane Propulsion Stage,1869.02,587.3,6230.05,38614.64,30873.4,180.3431263,162.6465349
Mars1,Mars Transportation System EDS,5744.6,7407.4,28265.42,268400.11,233456.65,394.9816451,551.2666757
Mars1,Mars Transportation System MOI,1451.9,1295.4,13918.19,67308.11,51867,268.5001431,298.9847838
Mars1,Mars Transportation System TEI,908.2,665.8,11769.3,40531.93,27932.78,268.5001431,298.9847838
HEFT,Medium/Small Cryogenic Propulsion Stage,1334.8,1222.4,10308.97,67510.25,57180,954.2255823,1819.417581
MCPS,Methane Cryogenic Propulsion Stage,1869.02,587.3,6109.05,38493.64,31756.28931,173.180295,159.0431281
HEFT,MOI Medium Cryogenic Propulsion Stage,2746.41,947.6,9221.16,70987.42,59000,954.2255823,1819.417581
MB12,MoonBEAM satellite 12U size,1.91,0.89,19.29,21.77,2.48,0.45242032,0.020059589
NCPS,Nuclear CPS Core Stage,6319.02,3641.72,21067.68,96850.05,71909,691.4017112,1219.189277
NCPS,Nuclear CPS Drop Tank,2304.4,6994.1,34064.2,97174.77,58653,680.8459599,1197.022199
NCPS,Nuclear CPS Inline Tank,6761,5939.68,18795.38,97424.56,73153,723.0689652,1285.69051
NTPMSC,Nuclear Thermal Propulsion MSC Core,4810.96,2073.67,11544.02,61392.58,47033,450.8185458,654.2366701
NTPMSC,Nuclear Thermal Propulsion MSC Inline Tank,2156.38,3372.26,24644.86,67308.71,40557,472.8096944,692.7211801
EAM3,Propulsion Module,335.15,195.6,1822.8,7653.9,5831.1,60.0829595,31.80862562
RP,Resource Prospector Propulsion Module,247.27,15.36,676.38,1087.01,204.7,66.67899508,37.09500976
Phoenix,RS-34 Stage 1 Tank Set HST-D,125.4,71.68,549.55,1371.01,621.28,16.36000082,4.562317456
Phoenix,RS-34 Stage Extended Tanks HST-D,161.7,75.88,590.05,1495.17,704.94,16.36000082,4.562317456
SPS,Solar Power Satellite,5190,0,33405,63210.74576,31756.28931,20757.00346,1819.417581
HEFT,TMI Large Cryogenic Propulsion Stage,53.73,1265.81,10252.07,117282.51,102000,954.2255823,1819.417581
HabEx,X-Ray Surveyor satellite,727,76.24,1890.6,4944.39,494.9,151.1891465,115.45353
